sex;edu;age_group;age_from;age_to;healthy;mci;dementia
f;5;(54,59];55;59;0.66;0.1;0.004
f;5;(59,64];60;64;0.972;0.175;0.013
f;5;(64,69];65;69;1.537;0.334;0.043
f;5;(69,74];70;74;2.266;0.608;0.131
f;5;(74,79];75;79;2.407;0.817;0.289
f;5;(79,84];80;84;2.133;1.015;0.609
f;5;(84,89];85;89;1.115;0.911;0.903
f;8;(54,59];55;59;3.955;0.244;0.012
f;8;(59,64];60;64;3.329;0.24;0.02
f;8;(64,69];65;69;2.581;0.219;0.03
f;8;(69,74];70;74;1.995;0.202;0.047
f;8;(74,79];75;79;1.386;0.167;0.064
f;8;(79,84];80;84;0.916;0.138;0.09
f;8;(84,89];85;89;0.45;0.088;0.094
f;11;(54,59];55;59;0.929;0.025;0.001
f;11;(59,64];60;64;0.822;0.025;0.002
f;11;(64,69];65;69;0.62;0.022;0.003
f;11;(69,74];70;74;0.446;0.019;0.005
f;11;(74,79];75;79;0.278;0.014;0.006
f;11;(79,84];80;84;0.153;0.009;0.006
f;11;(84,89];85;89;0.055;0.004;0.005
f;13;(54,59];55;59;3.491;0.093;0.005
f;13;(59,64];60;64;2.79;0.086;0.008
f;13;(64,69];65;69;1.993;0.072;0.011
f;13;(69,74];70;74;1.347;0.057;0.014
f;13;(74,79];75;79;0.834;0.041;0.017
f;13;(79,84];80;84;0.508;0.03;0.022
f;13;(84,89];85;89;0.259;0.019;0.022
f;17;(54,59];55;59;1.412;0.017;0.001
f;17;(59,64];60;64;1.105;0.015;0.001
f;17;(64,69];65;69;0.937;0.015;0.002
f;17;(69,74];70;74;0.734;0.014;0.004
f;17;(74,79];75;79;0.447;0.01;0.004
f;17;(79,84];80;84;0.229;0.006;0.004
f;17;(84,89];85;89;0.066;0.002;0.002
m;5;(54,59];55;59;0.567;0.073;0.003
m;5;(59,64];60;64;0.654;0.101;0.008
m;5;(64,69];65;69;0.94;0.175;0.024
m;5;(69,74];70;74;1.392;0.317;0.073
m;5;(74,79];75;79;1.5;0.426;0.16
m;5;(79,84];80;84;1.311;0.509;0.325
m;5;(84,89];85;89;0.665;0.411;0.431
m;8;(54,59];55;59;4.396;0.236;0.012
m;8;(59,64];60;64;3.557;0.223;0.019
m;8;(64,69];65;69;2.682;0.198;0.029
m;8;(69,74];70;74;2.085;0.183;0.045
m;8;(74,79];75;79;1.42;0.148;0.06
m;8;(79,84];80;84;0.876;0.113;0.078
m;8;(84,89];85;89;0.38;0.062;0.071
m;11;(54,59];55;59;0.755;0.018;0.001
m;11;(59,64];60;64;0.609;0.016;0.002
m;11;(64,69];65;69;0.474;0.015;0.002
m;11;(69,74];70;74;0.371;0.014;0.004
m;11;(74,79];75;79;0.235;0.01;0.005
m;11;(79,84];80;84;0.122;0.006;0.005
m;11;(84,89];85;89;0.036;0.002;0.003
m;13;(54,59];55;59;3.197;0.075;0.004
m;13;(59,64];60;64;2.695;0.073;0.007
m;13;(64,69];65;69;2.135;0.067;0.011
m;13;(69,74];70;74;1.594;0.059;0.016
m;13;(74,79];75;79;1.019;0.044;0.02
m;13;(79,84];80;84;0.563;0.029;0.022
m;13;(84,89];85;89;0.205;0.013;0.016
m;17;(54,59];55;59;1.224;0.013;0.001
m;17;(59,64];60;64;1.04;0.012;0.001
m;17;(64,69];65;69;0.922;0.013;0.002
m;17;(69,74];70;74;0.773;0.012;0.004
m;17;(74,79];75;79;0.523;0.01;0.005
m;17;(79,84];80;84;0.304;0.007;0.006
m;17;(84,89];85;89;0.114;0.003;0.004
